question,answer,product_name,link,advantages,terms,conditions,benefits,requirements,metadata
What are the conditions to apply for Transferring money abroad?,Not Provided,Transferring money abroad,https://xacbank.mn/product/56?lang=en,"You will need to fill out the ""Foreign Remittance Form""  with detailed information about the beneficiary and submit the completed form to a XacBank employee. Alternatively, you can fill and submit the form throughout mobile phone and internet banking services.

To see the list of our correspondent banks, please click here.

To download ""Foreign Remittance Form"", please click here.",Not Provided,Not Provided,Not Provided,"Considerations

    Detailed information about the beneficiary, including bank information, account number, full address, phone number, and remittance purpose must be filled in accurately and legibly. Inaccurate, incorrect, or incomplete information may cause the remittance to be delayed or canceled.
    For Chinese RMB/CNY remittance, it is required to provide the beneficiary’s name and bank information in Chinese characters. Exception: Chinese characters are not required for following cases:
        Remittance to Erlian city branches;
        Remittance to Agricultural Bank of China accounts.
    For European and Caribbean EUR remittances, the IBAN /International Bank Account Number/ is required.
    For goods, invoice of the purchase is required.

XacBank SWIFT code: CAXBMNUB
USD transfer fee
Transfer amount        Service fee /USD/
Up to 5,000.00
        8.5
5,000.01 - 50,000.00
        12.5
Over 50,000.01
        15
Eur TRANSFER FEE
Transfer amount
        Service fee /EUR/
Up to 5,000.00
        5
Over 5,000.01
        10
cad TRANSFER FEE
Transfer amount
        Service fee /CAD/
Up to 50,000.00
        10
Over 50,000.01
        13.5
jpy TRANSFER FEE
Transfer amount
        Service fee /JPY/
All amounts        670
aud TRANSFER FEE
Transfer amount
        Service fee /AUD/
Up to 50,000.00
        10
Over 50,000.01
        13.5
cny TRANSFER FEE
Transfer amount
        Service fee /CNY/
Up to 50,000.00
        20
50,000.01- 100,000.00
        25
Over 100,000.01
        50
krw TRANSFER FEE
Transfer amount
        Service fee /KRW/
Up to 1,000,000.00
        7,500
Over 1,000,000.01
        12,000
hkd TRANSFER FEE
Transfer amount
        Service fee /HKD/
All amounts        85
sgd TRANSFER FEE
Transfer amount
        Service fee /SGD/
All amounts
        10
gbp TRANSFER FEE
Transfer amount
        Service fee /GBP/
All amounts
        5",Not Provided
Can you explain the terms for Consumption purchase loan?,"Loan size
	Loan period
	Interest rate*
	service fee
monthly rate	Annual rate
Up to  MNT 50 million
	30 months
	2.0%
	24.0%
	1%

*Annual percentage rate: 24.9%",Consumption purchase loan,https://xacbank.mn/product/5?lang=en,"During your annual leave and holidays when you incur higher expenses, you can enjoy the grace period for one month period and pay only interest payments;
    If you buy items, except for mobile phones, worth of up to MNT 3 million, the purchased item shall serve as 100% collateral. Down payment and additional collateral are not needed;
    If you buy items worth more than MNT 3 million, you can make a down payment or you need to provide additional collateral of the same amount so that you may purchase the item with 100% financing even if you do not have a down payment.","Loan size
	Loan period
	Interest rate*
	service fee
monthly rate	Annual rate
Up to  MNT 50 million
	30 months
	2.0%
	24.0%
	1%

*Annual percentage rate: 24.9%",Not Provided,"You can buy electronic devices, mobile phones, and home furniture from partnering organizations and individuals using Consumption Purchase Loan.","To have been employed or run business for last 6 months;
    No bad loan history.

Required documents:

    Application form for consumption purchase loan (request from XacBank branch office or download here);
    3х4 sized photo;
    ID card and its copy for the applicant and the family members;
    Social Insurance Book and its copy for the applicant and the family members;
    Salary reference for the applicant and the family members, if Social Insurance Book does not reflect the real salary amount (request the form from XacBank branch office or download here);
    Evidence of business income for family members, if any;
    Purchase Invoice;
    Other.","Loan size

up to 50 million MNT

loan period

30 months

interest rate

Monthly rate: 2.0%

annual rate: 24.0%"
What are the benefits of using Digital banking?,Not Provided,Digital banking,https://xacbank.mn/product/48?lang=en,"Registration:
        Become a new customer and access banking services with your digital banking at your fingertips without visiting a XacBank branch;
    Account:
        Open new current account, term deposit and any saving accounts;
        Check account balances and statements, obtain loan account information;
    Transactions:
        Transfer between XacBank accounts FREE OF CHARGE; 
        Interbank transactions; 
        Pay using Qpay service; 
        Loan payment;
        Utility bills;
        Pay for government services, custom payments and tax services;
        Credit card payments; 
        International money transfer (SWIFT); 
        Transactions to frequently used (saved) accounts;
        Multi transaction - Simultaneous transfer of up to five accounts with different amounts and different transaction values;
        Transactions by recipient's phone number and email address; 
        High-value currency trading transactions; 
        Standing order transactions;
        Obtain transaction receipts;
    Card:
        Check debit and credit card information; 
        Create new card order or re-order lost or stolen card;
        Order a Virtual Card that can be used immediately after ordering; 
        Change the status of the card; 
        Temporarily deactivate, re-open lost or stolen card; 
        Get the card PIN code; 
        Get an e-pin code for online transactions; 
        Active and deactivate international transactions; 
        Increase or decrease the card daily transaction limit;
    Loan:
        Get new deposit secured loan;
        Renew or and extend deposit secure loan; 
        Get a salary loan; 
        Check your loan balances; 
        Make payment or close a loan;
    Others:
        Mobile cash - When you don't have a card, use Mobile cash service to withdraw cash from your nearest XacBank ATM; 
        Calculate exchange rates, savings and loans; 
        View your nearest branch or ATM location on map or in list;
        Change or update your personal information; 
        Manage accounts; 
        Change your passwords;","Service term
Service type
	Fee
Enrollment fee
	MNT 0
Annual fee
	MNT 0
Inside XacBank transaction
	MNT 0
Interbank transaction
	MNT 200*, USD 0.2, EUR 0.2
Interbank transaction (If the amount of transaction is above the daily transaction limit of corporate users)**
	MNT 500, USD 0.2, EUR 0.2
Single transaction limit
	MNT 20,000,000
Daily transaction limit
	MNT 20,000,000
Bank statement request
	Loan account statement
	MNT 3,000
Card, Current and deposit account statement
	MNT 5,000
MNT 30,000
For less than 14 days:

    Opened account;
    For supplementary account holder;
    more than 70% of the monetary asset specified statement.

*200 MNT for interbank non-cash transactions below 5 million MNT

**a fee charged on the type of currencies in case of a transaction with an amount in excess of daily transaction limits in accordance with General Terms for XacBank Service Fees and Commissions.",Not Provided,Not Provided,"Download XacBank Digital app or visit https://digital.xacbank.mn/XACBaseApp/ from website.
    Contact the nearest branch with your ID card;","enrollment fee

MNT 0

annual fee 

MNT 0"
What are the advantages of Business meetings?,"Participating in the business meetings provided by XacBank, you will network, build relationships, and gain information on projects and programs designed to support your business.",Business meetings,https://xacbank.mn/product/118?lang=en,"Participating in the business meetings provided by XacBank, you will network, build relationships, and gain information on projects and programs designed to support your business.",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the benefits of using Intorduction?,Not Provided,Intorduction,https://xacbank.mn/product/116?lang=en,"By choosing XacBank, the bank will not only provide you with the following services but we will become a valuable business partner in your everyday business. 

Your everyday banking needs and services will be met with our comprehensive banking solutions.
Enjoy a pleasant time at our branches as trained professionals provide expeditious services. 
Long term relationship with experienced professional. 
Special training on banking solutions. 
Special banking solutions tailored to your financial needs. 
Business meetings dedicated for SME executives and entrepreneurs to network and build relationships.
News and information on banking solutions, special offers, and discounts.",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the requirements for Platinum card (VISA)?,If Mongolian citizen - Id or international passport of Mongolia;,Platinum card (VISA),https://xacbank.mn/product/109?lang=en,Not Provided,Not Provided,"Annual fee
300,000 MNT
Maximum daily cash withdrawal limit
MNT 20,000,000
Maximum daily purchase limit (POS)
MNT 20,000,000
Card replacement fee
-
PIN code recovery fee
-
Annual fee for a supplementary fee
MNT 50,000
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/
0.25%
At XacBank branch /MNT/
MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM
MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY","Make payments both domestically and internationally without any problem;
You will be able to proceed international payments using your MNT account, where non-cash exchange rate will apply depending on the currency of your transactions;
Accumulate interest on your account balance;
Sub-cards at discounted terms;
No minimum balance is required;
Link all your current accounts at XacBank to your payment card and make payments and settlements using internet bank and ATM.
Additionally, you will enjoy other services during your overseas travel. For instance:

Priority Pass which comes along with the Platinum Card is a Membership pass which allows you to use VIP lounges at the over 600 international airports worldwide. VIP lounges will offer you the following service:
Internet;
Meeting room;
Snacks and drinks;
Comfortable and cozy environment.
You will find a list of VIP lounges from www.prioritypass.com webpage.

Information assistance;
Discount at internationally recognized merchants;
Access to information of hotels and resorts /address, time table, phone number/ and make reservation;
Access to plane ticket and flight schedule and make reservation.",If Mongolian citizen - Id or international passport of Mongolia;,"Maximum daily cash withdrawal limit

20,000,000 MNT

Maximum daily purchase limit (POS)

20,000,000 MNT

XacBank ATM cash out fee

0 MNT"
What are the advantages of Temuulel card?,"Manage account independently,
    Make payments both domestically and internationally without complications;
    No minimum balance is required;
    Make payments and settlements using internet bank and ATM.",Temuulel card,https://xacbank.mn/product/47?lang=en,"Manage account independently,
    Make payments both domestically and internationally without complications;
    No minimum balance is required;
    Make payments and settlements using internet bank and ATM.","Conditions
	Fees and charges
Annual fee
	MNT 10,000
Maximum daily cash withdrawal limit
	MNT 250,000
Maximum daily purchase limit (POS)
	MNT 1,000,000
Card replacement fee
	MNT 3,000
PIN code recovery fee at Digital bank
	MNT 1,000
PIN code change at ATM
	MNT 0
Cash withdrawal
	In abroad /АТМ, POS/
	1.5% or equal to MNT 3000
At XacBank branch /USD, CNY/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM
	XacBank ATM
	MNT 0
Other domestic banks' ATM	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency",Not Provided,Not Provided,"Children's birth certificate and ID card of parents;
    Passport and Certificate for alien registration for foreigners.","Annual fee

10,000 MNT

Maximum daily cash withdrawal limit

250,000 MNT

Maximum daily purchase limit (POS)

1,000,000 MNT"
Can you explain the terms for International settlement?,Not Provided,International settlement,https://xacbank.mn/product/79?lang=en,"XacBank provides our clients with the ability to transfer payments to any country in the world within seconds from the convenience of their home, office, mobile phone, and every branch of XacBank in Ulaanbaatar as well as the 21 provinces around the country.
XacBank will transfer your payments according to your instructions to any country in the world through internationally reputable banks within 1-2 business days.

To see the list of our correspondent banks, please click here.

Features and advantages
Pay settlements reliably and quickly through the most extensive network with our S.W.I.F.T service;
Settlements are made through the 10 most universal currencies. Including: USD, EUR, CNY, JPY, KRW, AUD, GBP, CAD, HKD, SGD;
S.W.I.F.T service is available at all XacBank's branches in Ulaanbaatar and throughout the 21 aimags in the country;
S.W.I.F.T settlements are also available through our internet and mobile banking, so payments can be made from anywhere in the world, at your convenience;
Get advice and information on international remittances;
Competitive fees and commissions.",Not Provided,"USD TRANSFER FEE
Transfer amount	service fee  /USD/
Up to 5,000.00 хүртэл
8.5
5,000.01 - 50,000.00	12.5
Over 50,000.01
15
eur TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /EUR/
Up to 5,000.00
5
Over 5,000.01
10
cad TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /CAD/
Up to 50,000.00
10
Over 50,000.01
13.5
jpy TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /JPY/
All amount 	670


aud TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /AUD/
Up to 50,000.00
10
Over 50,000.01
13.5
cny TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /CNY/
Up to 50,000.00
20
50,000.01- 100,000.00
25
Over 100,000.01
50
krw TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /KRW/
Up to 1,000,000.00
7,500
Over 1,000,000.01
12,000
hkd TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /HKD/
All amounts	85
sgd TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /SGD/
All amounts
10
gbp TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /GBP/
All amounts
5","Complete the ""Beneficiary Form"" and E-mail or fax a copy to the beneficiary.

In accordance with the sender's information, the payment will be remitted into your account without any delay. From the list below, please select the currency in which you wish to receive the remittance, and complete the ""Remittance Requisite Form"".

USD
EUR
YEN
CNY
KRW
CAD
AUD
HKD
SGD
Transferring money abroad:
You will need to fill out the ""Foreign Remittance Form"", which is available at every branch of XacBank, with detailed information about the beneficiary and submit the completed form to a XacBank employee. Alternatively, you can fill our and submit the form through our mobile internet banking service.",Not Provided,Not Provided
What are the advantages of 6% Mortgage?,Not Provided,6% Mortgage,https://xacbank.mn/product/15?lang=en,Not Provided,"Loan period
	Interest rate
/Annual/
	Down payment
/in percentage/
	Service fee
Up to 30 years
	6%    
	30%
	1%",Not Provided,"Contact the nearest XacBank branch office to request the transfer of loan and present the proof of current income standings.

Click here to download loan transfer application form.","For living purposes;
    Up to 80 sq. m sized apartments;
    Issued the Apartment Ownership Certificate (Real Estate Certificate);
    No third party claims against proprietorship rights of the apartment.
    Above 18 years of age, legally eligible, citizen of Mongolia;
    No bad record of overdue, bad loans from financial institutions, or debts payable in accordance with court resolution for the past 6 months;
    None of family members has outstanding loans from the state loan program for public servants;
    Ratio of debts to pre-tax income is 45% ( including monthly payment of consumption and business loans);
    Consistent business and salary income;
    Stable continuous employment or business activities for the past one year;
    Accumulated down payment or ready to pledge an apartment of own proprietorship for the amount of the down payment;
    To be not more than 65 years of age upon expiry of the loan terms;
    Covered with life and property insurance.A list of required documents for loan transfer:

    Loan transfer application form /application forms/;
    Documents to evidence income and revenues (not needed from applicants that are paid the salary through XacBank branch offices)
    Notarized copies of ID card, ;
    Reference letter from Taxation Authorities on outstanding tax payables of economic entities and businesspersons.

A list of required documents for a new loan:

    Reference from Governor of resident areas ;
    Reference on the apartment ownership shall be obtained from Property Registration Authority, /proof of no pledge with other loan obligations in a bank, non-existence of claims from the third party, and no doubts about proprietorship rights/;
    Economic entities and businesspersons should obtain a reference from the relevant tax authorities on absence of overdue taxation liability;
    Notarized copies of ID Cards for loan applicants and the family members;
    2 passport sized (3x4 sized) photos (taken within last one year) of the Loan applicant;
    Receipt for down payment or proof of financial capacity to make such a payment /receipt, savings book or contract etc/;
    A notarized copy of ownership certificate;
    Original copy of Apartment Sale and Purchase Agreement signed by and between the Seller and the Loan Applicant;
    Documents to prove income and revenues;
    Other.","loan size

up to 150 million mnt

period

up to 30 years    

interest rate (annual)

6%"
Can you explain the terms for Small and Medium Enterprise Development and Environmental Protection 2 Stage Projects?,"Loan amount
50,000,000 - 800,000,000 MNT equivalent USD
50,000,000 - 800,000,000 MNT
Interest rate per annul
10.27%
7%
Loan commission
0.5%
1%
Loan period
3-10 years
Grace period
1-3 years /Depending on the loan period/
Others
General terms and conditions of the bank",Small and Medium Enterprise Development and Environmental Protection 2 Stage Projects,https://xacbank.mn/product/104?lang=en,"Two stage projects lending from Japan International Cooperation Agency designed to promote small and medium business development. Since 2006, XacBank and JICA have been cooperating on 1 and 2 stage projects.","Loan amount
50,000,000 - 800,000,000 MNT equivalent USD
50,000,000 - 800,000,000 MNT
Interest rate per annul
10.27%
7%
Loan commission
0.5%
1%
Loan period
3-10 years
Grace period
1-3 years /Depending on the loan period/
Others
General terms and conditions of the bank",Not Provided,Not Provided,"Registered in Mongolia, currently operating;
Majority (51% or more) owned by Mongolian private equity company;
Corporate income tax of 10% per capita;
Total employees must be fewer than 200 for manufacturing sector and fewer than 50 for service sector;
No previously owed loans or overdue loans, financially solvent;
Minimum 20% of total project cost is to be financed by the borrower;
Project must have a minimum 13% return on investment;
For the duration of the loan, minimum of 1.3 for annual net operating income and debt service ratio;
Other requirements from the bank.","Reduce poverty and promote sustainable development;
Provide long-term financial support to small and medium-sized businesses;
Environmental protection.Businesses with a negative impact on social morality;
Businesses with a negative impact on the environment;
Retail and wholesale;
Businesses with a bad credit history;
Construction or real estate;
Consumer loans;
Personal loans;
Mining;
Alcohol and tobacco;
Loans designating more than 20% to current assets purposes.0"
What are the conditions to apply for Tailored banking solutions?,Not Provided,Tailored banking solutions,https://xacbank.mn/product/119?lang=en,XacBank’s experienced professionals will tailor banking solutions to your specific business needs and be your valuable long term partner.,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the requirements for Transferring money abroad?,"Considerations

    Detailed information about the beneficiary, including bank information, account number, full address, phone number, and remittance purpose must be filled in accurately and legibly. Inaccurate, incorrect, or incomplete information may cause the remittance to be delayed or canceled.
    For Chinese RMB/CNY remittance, it is required to provide the beneficiary’s name and bank information in Chinese characters. Exception: Chinese characters are not required for following cases:
        Remittance to Erlian city branches;
        Remittance to Agricultural Bank of China accounts.
    For European and Caribbean EUR remittances, the IBAN /International Bank Account Number/ is required.
    For goods, invoice of the purchase is required.

XacBank SWIFT code: CAXBMNUB
USD transfer fee
Transfer amount        Service fee /USD/
Up to 5,000.00
        8.5
5,000.01 - 50,000.00
        12.5
Over 50,000.01
        15
Eur TRANSFER FEE
Transfer amount
        Service fee /EUR/
Up to 5,000.00
        5
Over 5,000.01
        10
cad TRANSFER FEE
Transfer amount
        Service fee /CAD/
Up to 50,000.00
        10
Over 50,000.01
        13.5
jpy TRANSFER FEE
Transfer amount
        Service fee /JPY/
All amounts        670
aud TRANSFER FEE
Transfer amount
        Service fee /AUD/
Up to 50,000.00
        10
Over 50,000.01
        13.5
cny TRANSFER FEE
Transfer amount
        Service fee /CNY/
Up to 50,000.00
        20
50,000.01- 100,000.00
        25
Over 100,000.01
        50
krw TRANSFER FEE
Transfer amount
        Service fee /KRW/
Up to 1,000,000.00
        7,500
Over 1,000,000.01
        12,000
hkd TRANSFER FEE
Transfer amount
        Service fee /HKD/
All amounts        85
sgd TRANSFER FEE
Transfer amount
        Service fee /SGD/
All amounts
        10
gbp TRANSFER FEE
Transfer amount
        Service fee /GBP/
All amounts
        5",Transferring money abroad,https://xacbank.mn/product/56?lang=en,"You will need to fill out the ""Foreign Remittance Form""  with detailed information about the beneficiary and submit the completed form to a XacBank employee. Alternatively, you can fill and submit the form throughout mobile phone and internet banking services.

To see the list of our correspondent banks, please click here.

To download ""Foreign Remittance Form"", please click here.",Not Provided,Not Provided,Not Provided,"Considerations

    Detailed information about the beneficiary, including bank information, account number, full address, phone number, and remittance purpose must be filled in accurately and legibly. Inaccurate, incorrect, or incomplete information may cause the remittance to be delayed or canceled.
    For Chinese RMB/CNY remittance, it is required to provide the beneficiary’s name and bank information in Chinese characters. Exception: Chinese characters are not required for following cases:
        Remittance to Erlian city branches;
        Remittance to Agricultural Bank of China accounts.
    For European and Caribbean EUR remittances, the IBAN /International Bank Account Number/ is required.
    For goods, invoice of the purchase is required.

XacBank SWIFT code: CAXBMNUB
USD transfer fee
Transfer amount        Service fee /USD/
Up to 5,000.00
        8.5
5,000.01 - 50,000.00
        12.5
Over 50,000.01
        15
Eur TRANSFER FEE
Transfer amount
        Service fee /EUR/
Up to 5,000.00
        5
Over 5,000.01
        10
cad TRANSFER FEE
Transfer amount
        Service fee /CAD/
Up to 50,000.00
        10
Over 50,000.01
        13.5
jpy TRANSFER FEE
Transfer amount
        Service fee /JPY/
All amounts        670
aud TRANSFER FEE
Transfer amount
        Service fee /AUD/
Up to 50,000.00
        10
Over 50,000.01
        13.5
cny TRANSFER FEE
Transfer amount
        Service fee /CNY/
Up to 50,000.00
        20
50,000.01- 100,000.00
        25
Over 100,000.01
        50
krw TRANSFER FEE
Transfer amount
        Service fee /KRW/
Up to 1,000,000.00
        7,500
Over 1,000,000.01
        12,000
hkd TRANSFER FEE
Transfer amount
        Service fee /HKD/
All amounts        85
sgd TRANSFER FEE
Transfer amount
        Service fee /SGD/
All amounts
        10
gbp TRANSFER FEE
Transfer amount
        Service fee /GBP/
All amounts
        5",Not Provided
Where can I learn more about Not Provided?,https://xacbank.mn/product/115?lang=en,Not Provided,https://xacbank.mn/product/115?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
Can you explain the terms for Organic Mongolia Program?,Not Provided,Organic Mongolia Program,https://xacbank.mn/product/125?lang=en,“Organic Mongolia” Program receives business projects and proposals and conducts the selection process every spring. Selected entrepreneurs qualify for a soft loan without any collateral requirements and also participate at the various exhibitions and trade fairs.,Not Provided,"condition
fee (MNT)
Loan amount
Business up to MNT 60,000,000
Individual up to MNT 20,000,000

Interest fee (per annul)
12.0%
Loan period
up to 3 years
Scope
Zuunmod, Selenge, Darhan, Khovd, Uvs, Khentii, Dornod, Khuvsgul branches
Fee
1.0 %",Not Provided,"condition
fee (MNT)
Loan amount
Business up to MNT 60,000,000
Individual up to MNT 20,000,000

Interest fee (per annul)
12.0%
Loan period
up to 3 years
Scope
Zuunmod, Selenge, Darhan, Khovd, Uvs, Khentii, Dornod, Khuvsgul branches
Fee
1.0 %","Loan amount

For business up to 60,000,000 MNT

For individual up to 20,000,000 MNT

Loan period

Up to 3 years

Annual Interest rate

12.0%"
What are the advantages of Working capital loan?,Loans financing the working capital needs of your business.,Working capital loan,https://xacbank.mn/product/91?lang=en,Loans financing the working capital needs of your business.,"terms
MNT
USD
Loan amount
Flexible depending on business scope and financial solvency
Interest rate
1.5% - 1.8%
1.1 - 1.5%
/18.0% -21.6%/ per annul
/13.2% - 18.0%/ per annul
Loan period
36 months
36 months
Service fee
1.00%
0.50%
Loan application fee
0 MNT",Not Provided,Not Provided,"In operation for the past 6 months;
To have the required business license from the relevant authority, valid until the loan maturity, or in case of special licenses with set periods, availability to obtain an extension until loan matures;
No previous bad credit history with other banks, financial institutions, individuals or legal entities;
Maintains accounting records which are up to date and accurate with regards to the operation of the business; in case of legal entities, accounting bookkeeping;
Provide accurate and complete information as required by the bank;
In case of establishment of a legal entity during the process of doing business, said legal entity should have no bad credit history or bankruptcy record.
Required documents:

XacBank application form;
Business background;
Certificate of legal entity, charter and founders’ agreement;
Financial statements (last 1-3 years);
Business permits, licenses, and patents;
Land ownership and occupancy certificates;
Recent credit history from other banks and financial institutions;
Agreements and transactions relevant to activities to be financed by loan;
Documents relevant to collateral assets;
Other documents required depending on business type.","Loan amount

Flexible depending on business scope and financial solvency

Loan period

36 months

monthly Interest rate

1.5% - 1.8%"
"Where can I learn more about ""Monpay"" payment card?",https://xacbank.mn/product/132?lang=en,"""Monpay"" payment card",https://xacbank.mn/product/132?lang=en,We offer you a Monpay card which you can use to make all your international and domestic payments and collect 1% cashback on your Monpay account.,"Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Collect 1% cashback on your Monpay account on purchases made through XacBank POS terminals;
No ATM withdrawal fees when used on XacBank ATMs;
Secure online payments;
Use your payment card with ease when you travel.","If Mongolian citizen - Id or international passport of Mongolia;
If foreign citizen - Certificate of alien registration;",Not Provided
"Can you explain the terms for ""Monpay"" payment card?","Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","""Monpay"" payment card",https://xacbank.mn/product/132?lang=en,We offer you a Monpay card which you can use to make all your international and domestic payments and collect 1% cashback on your Monpay account.,"Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Collect 1% cashback on your Monpay account on purchases made through XacBank POS terminals;
No ATM withdrawal fees when used on XacBank ATMs;
Secure online payments;
Use your payment card with ease when you travel.","If Mongolian citizen - Id or international passport of Mongolia;
If foreign citizen - Certificate of alien registration;",Not Provided
Can you explain the terms for Platinum card (UPI)?,"condition
	Fees and charges
Annual fee
	MNT 100,000
Maximum daily cash withdrawal limit
	MNT 20,000,000
Maximum daily purchase limit (POS)
	MNT 20,000,000
Card replacement fee
	-
PIN code recovery fee
	-
Cash withdrawal
	XacBank ATM
	MNT 0
In abroad /АТМ, POS/
	1.5% or equal to MNT 3000
At XacBank branch /USD, CNY/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM
	XacBank ATM	MNT 0
Other domestic banks' ATM
	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
	Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY",Platinum card (UPI),https://xacbank.mn/product/44?lang=en,"Make payments both domestically and internationally without any problem;
    You will be able to proceed international payments using your MNT account, where non-cash exchange rate will apply depending on the currency of your transactions;
    Currency of your choice such as MNT, USD, and CNY will be connected to your card;
    The payment will proceed through your account which has the same currency as the transaction currency, hence there is no loss from currency exchange;
    Sub-cards at discounted terms;
    No minimum balance is required;
    Link all your demand deposit accounts at XacBank to your payment card and make payments and settlements using internet bank and ATM;
    Withdraw cash (CNY) at “Bank of Inner Mongolia” branches.","condition
	Fees and charges
Annual fee
	MNT 100,000
Maximum daily cash withdrawal limit
	MNT 20,000,000
Maximum daily purchase limit (POS)
	MNT 20,000,000
Card replacement fee
	-
PIN code recovery fee
	-
Cash withdrawal
	XacBank ATM
	MNT 0
In abroad /АТМ, POS/
	1.5% or equal to MNT 3000
At XacBank branch /USD, CNY/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM
	XacBank ATM	MNT 0
Other domestic banks' ATM
	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
	Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY",Not Provided,Not Provided,"If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;","If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;"
