question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
"is the sutain buyant zakh,express bank атм branch open on sunday?",yes,"sutain buyant zakh,express bank атм","18th khoroo, moscow road, sutain buyant zakh",mon-sun 9-18 hour,1800-1888,09:00,17:59
"what is the name of the branch located at dornod province, kherlen, chit street, xacbank ?","dornod province, kherlen, chit street, xacbank ","dornod branch, express атм","dornod province, kherlen, chit street, xacbank ",mon-sun 24 hour,1800-1888,00:00,23:59
is the efes market atm branch open on sunday?,yes,efes market atm,"micro-region #6, peace avenue, district #10, efes market",mon-sun 09:00-23:00,1800-1888,09:00,23:00
is the bat-undral arivjikh mini market atm branch open on sunday?,yes,bat-undral arivjikh mini market atm,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",mon-sun 9am-12pm,1800-1888,09:00,23:59
is the umnugovi central hospital branch open on sunday?,yes,umnugovi central hospital,"umnugovi province, umnugovi hospital",mon-sun 24 hour,1800-1888,00:00,23:59
"is the narnii khoroolol m mart, express atm branch open on sunday?",yes,"narnii khoroolol m mart, express atm","3st khoroo, narnii khoroolol m mart",mon-sun 9am-21pm,1800-1888,09:00,21:00
what are the opening hours for zam zuur supermarket  атм branch?,"opening time: 08:00, closing time: 23:59",zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",mon-sun 8am-12pm,1800-1888,08:00,23:59
where is the arvaiheer branch branch located?,"1st floor, khangamj shopping center, 5th bag, arvaikheer soum
what3words: /// greet.creamed.task",arvaiheer branch,"1st floor, khangamj shopping center, 5th bag, arvaikheer soum
what3words: /// greet.creamed.task","monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the sansar branch, express bank атм branch open on sunday?",yes,"sansar branch, express bank атм","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch",mon-sun 24 hour,1800-1888,07:00,23:59
"is the buyant rashaan, monos pharmacy атм branch open on sunday?",yes,"buyant rashaan, monos pharmacy атм","selenge province, sukhbaatar, gan zam, buyant rashaan monos pharmacy",mon-sun 8am-11pm,1800-1888,08:00,23:00
what are the opening hours for tsaiz branch атм branch?,"opening time: 00:00, closing time: 23:59",tsaiz branch атм,"16th khoroo, dandarbaatar street, tsaiz branch",даваа-ням 24 цаг,1800-1888,00:00,23:59
"what are the opening hours for tedy 2 center, express atm  branch?","opening time: 10:00, closing time: 20:00","tedy 2 center, express atm ","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center",mon-sun 10am-8pm,1800-1888,10:00,20:00
is the denjiin 1000 suun atm branch open on sunday?,yes,denjiin 1000 suun atm,"micro-region #10, shinechlel suun",09-22 hour,1800-1888,09:00,21:59
is the shim center atm branch open on sunday?,yes,shim center atm,"saihandulaan sum, shim center",24 hour,1800-1888,00:00,23:59
"what are the opening hours for sapporo minii supermarket, express atm  branch?","opening time: 08:00, closing time: 22:00","sapporo minii supermarket, express atm ","12th khoroo, 1st microdistrict, sappora minii supermarket ",mon-sun 8am-10pm,1800-1888,08:00,22:00
where is the dako center atm branch located?,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",dako center atm,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",mon-sun 24 hour,1800-1888,07:00,23:59
what are the opening hours for xacbank bayangol branch atm branch?,"opening time: 08:00, closing time: 23:59",xacbank bayangol branch atm,"micro-region #13, ard ayush avenue,  district #3, xacbank bayangol branch",mon-sun 24 hour,1800-1888,08:00,23:59
"what is the name of the branch located at 14th khoroo, infectious hospital administration building ?","14th khoroo, infectious hospital administration building ",infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",mon-sun 8pm-12pm,1800-1888,08:00,23:59
"what are the opening hours for khan-uul branch, express bank  атм branch?","opening time: 07:00, closing time: 23:59","khan-uul branch, express bank  атм","2nd khoroo, chinggis avenue, khan-uul branch xac bank ",mon-sun 24 hour,1800-1888,07:00,23:59
where is the hentii branch branch located?,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue",hentii branch,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the arkhangai buren hypermarket atm branch located?,arkhangai tsetserleg,arkhangai buren hypermarket atm,arkhangai tsetserleg,mon-sun 10:00-21:00,nan,10:00,21:00
what is the name of the branch located at umnugovi province  khanbogd branch?,umnugovi province  khanbogd branch,"umnugovi khanbogd branch, express атм",umnugovi province  khanbogd branch,mon-sun 9am-10pm,1800-1888,09:00,22:00
"where is the bayangol branch, express bank атм branch located?","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank","bayangol branch, express bank атм","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
what are the opening hours for anar trade center atm branch?,"opening time: 09:00, closing time: 23:59",anar trade center atm,"bulgan city, anar trade center",mon-sun 09:00-24:00,1800-1888,09:00,23:59
is the ord supermarket branch open on sunday?,yes,ord supermarket,"15th khoroo, sharga morit, ord supermarket ",mon-sun 8am-11pm,1800-1888,08:00,23:00
"is the sansar branch, express bank атм branch open on sunday?",yes,"sansar branch, express bank атм","micro-region #3, peace avenue, district #13, xacbank bayanzurkh branch",mon-sun: 06:00-01:00,1800-1888,00:00,23:59
what are the opening hours for infectious hospital administration building атм branch?,"opening time: 08:00, closing time: 23:59",infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",mon-sun 8pm-12pm,1800-1888,08:00,23:59
"is the ulaankhuaran eco market, atm branch open on sunday?",yes,"ulaankhuaran eco market, atm","8th khoroo, ulaankhuaran eco market",mon-sun: 09am-6pm,1800-1888,09:00,18:00
where is the nalaih branch branch located?,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the shine songolt branch, express bank  branch located?","shine songolt shopping center, shine songolt branch xac bank ","shine songolt branch, express bank ","shine songolt shopping center, shine songolt branch xac bank ",mon-sun 9am-8pm,1800-1888,09:00,20:00
where is the songinokhairkhan branch lobby crm-atm-2 branch located?,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
"what are the opening hours for uguuj market, express atm  branch?","opening time: 10:00, closing time: 20:00","uguuj market, express atm ","10th khoroo, end of the bayankhoshuu bus station, uguuj market ",mon-sun 10am-8pm,1800-1888,10:00,20:00
"where is the asait minii delguur, express atm branch located?","22th khoroo, b. dorj street, asait shopping center, minii delguur","asait minii delguur, express atm","22th khoroo, b. dorj street, asait shopping center, minii delguur",mon-sun 8am-11pm,1800-1888,09:00,23:00
is the dornod branch branch open on sunday?,yes,dornod branch,"xacbank building, chit street, 6th bag, kherlen soum
what3words: /// discouraged.earphones.forget","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the songinokhairkhan branch lobby crm-atm-2 branch open on sunday?,yes,songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
is the minii delguur market branch open on sunday?,yes,minii delguur market,"micro-region #25, narnii road, minii delguur market",mon-sun 08:00-24:00,nan,08:00,23:59
where is the shine orchin branch branch located?," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics?","xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics",tsogttsetsii branch,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for itgelt trade center atm branch?,"opening time: 09:00, closing time: 21:00",itgelt trade center atm,"micro-region #12, chuluun ovoo, iteglt trade center",mon-sun 09:00-21:00,1800-1888,09:00,21:00
"what are the opening hours for uvurkhangai, express atm  branch?","opening time: 09:00, closing time: 17:30","uvurkhangai, express atm ","uvurkhangai province, arvaikheer, xac bank uvurkhangai branch ",mon-sun 9am-5:30pm,1800-1888,09:00,17:30
what are the opening hours for dornogovi branch urgutgul atm branch?,"opening time: 00:00, closing time: 23:59",dornogovi branch urgutgul atm,"dornogovi province, 4th committee, xacbank-extention",mon-sun 24 hour,1800-1888,00:00,23:59
is the narlag market atm branch open on sunday?,yes,narlag market atm,"altai sum, mongolia post",mon-sun 10:00-20:00,1800-1888,10:00,20:00
"what are the opening hours for sunday shopping center, express atm branch?","opening time: 10:00, closing time: 21:00","sunday shopping center, express atm","14th khoroo, namyanju street, sunday shopping center","tue-sun 10am-9pm
monday closed",1800-1888,10:00,21:00
where is the soyombo market атм branch located?," 14th khoroo, belkh road, dari-ekh, soyombo market 
",soyombo market атм," 14th khoroo, belkh road, dari-ekh, soyombo market 
",mon-sun 8am-9pm,1800-1888,08:00,21:00
"what are the opening hours for buyant rashaan, monos pharmacy атм branch?","opening time: 08:00, closing time: 23:00","buyant rashaan, monos pharmacy атм","selenge province, sukhbaatar, gan zam, buyant rashaan monos pharmacy",mon-sun 8am-11pm,1800-1888,08:00,23:00
"is the ulaangom branch, express atm  branch open on sunday?",yes,"ulaangom branch, express atm ","uvs province, ulaangom, xac bank ulaangom branch ",mon-sun 9am-9pm,1800-1888,09:00,21:00
where is the oyu center atm branch located?,"arvaikheer sum, oyu center",oyu center atm,"arvaikheer sum, oyu center",24 hour,1800-1888,00:00,23:59
what are the opening hours for general health clinic of bayanzurkh атм branch?,"opening time: 07:00, closing time: 23:59",general health clinic of bayanzurkh атм,"22nd khoroo, bayanzurkh district, general health clinic of bayanzurkh ",mon-sun 7am-12pm,1800-1888,07:00,23:59
"what are the opening hours for altjin bumbugur, express atm branch?","opening time: 10:00, closing time: 19:59","altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ","mon-sun 10am-12pm
wednesday closed",1800-1888,10:00,19:59
where is the bayanmongol branch branch located?,"elizabeth town-214, hunnu street, 26th horoo, bayanzurkh district
what3words: /// provide.needed.gossiped",bayanmongol branch,"elizabeth town-214, hunnu street, 26th horoo, bayanzurkh district
what3words: /// provide.needed.gossiped","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at xacbank head office, prime minister amar's street, sukhbaatar district
what3words: /// teaching.placidly.each?","xacbank head office, prime minister amar's street, sukhbaatar district
what3words: /// teaching.placidly.each",central square branch,"xacbank head office, prime minister amar's street, sukhbaatar district
what3words: /// teaching.placidly.each","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 1-khoroo, central hospital-1?","1-khoroo, central hospital-1",central hospital-1,"1-khoroo, central hospital-1",06:00-00:00,1800-1888,06:00,23:59
"is the khan jargalant shopping center, express atm   branch open on sunday?",yes,"khan jargalant shopping center, express atm  ","bulgan province, udval street, khan jargalant shopping center",mon-sun 9am-8pm,1800-1888,09:00,20:00
is the e-mart sky centre atm branch open on sunday?,yes,e-mart sky centre atm,"micro-region #1, tokio str, chinggis khaan hotel, sky centre",mon-sun 09:00-22:00,nan,09:00,22:00
is the bosa supermarket atm branch open on sunday?,yes,bosa supermarket atm,"micro-region #20, bosa supermarket","mon-fri: 08:00-23:00
sat-sun: 09:00-22:00",nan,08:00,23:00
what are the opening hours for kharkhorin market атм branch?,"opening time: 09:00, closing time: 19:00",kharkhorin market атм,"20th khoroo, 1st microdisrict, moscow road, kharkhorin market","tue-sun 9am-7pm
monday closed",1800-1888,09:00,19:00
where is the m mart express atm branch located?,"micro-region #17, dilav khutagt jamsranjav str, max supermarket",m mart express atm,"micro-region #17, dilav khutagt jamsranjav str, max supermarket",mon-sun 08:00-23:00,nan,08:00,23:00
"what is the name of the branch located at 1st floor, amo center, police street, 10th khoroo, sukhbaatar district
what3words: /// cuddling.acting.crisp?","1st floor, amo center, police street, 10th khoroo, sukhbaatar district
what3words: /// cuddling.acting.crisp",zuun ail branch,"1st floor, amo center, police street, 10th khoroo, sukhbaatar district
what3words: /// cuddling.acting.crisp","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the xacbank ard branch tsetseg tuv, express bank atm branch located?","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch","xacbank ard branch tsetseg tuv, express bank atm","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch",mon-sun 8-20 hour,1800-1888,08:00,20:00
where is the bidnii supermarket atm branch located?,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",bidnii supermarket atm,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",mon-sun 8am-11pm,1800-1888,08:00,23:00
"where is the zaisan minii delguur, express atm  branch located?","11st khoroo, zaisan road, minii delguur","zaisan minii delguur, express atm ","11st khoroo, zaisan road, minii delguur",mon-sun 9am-8pm,1800-1888,09:00,20:00
is the baruun-urt branch branch open on sunday?,yes,baruun-urt branch,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for hanjargalant branch branch?,"opening time: 08:30, closing time: 16:30",hanjargalant branch,"1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank","monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the xacbank uvs branch atm branch open on sunday?,yes,xacbank uvs branch atm,"ulaangom sum, xacbank uvs branch",24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at bayan-ulgii province, ulgii, mjs tower ?","bayan-ulgii province, ulgii, mjs tower ","information communication center, express atm ","bayan-ulgii province, ulgii, mjs tower ",mon-sun 9am-8pm,1800-1888,09:00,20:00
"where is the kharkhorin branch, express atm  branch located?","uvurkhangai province, kharkhorin, erdenezuu street, xac bank kharkhorin branch","kharkhorin branch, express atm ","uvurkhangai province, kharkhorin, erdenezuu street, xac bank kharkhorin branch",mon-sun 9am-6pm,1800-1888,09:00,18:00
what are the opening hours for xacbank khan-uul branch atm branch?,"opening time: 00:00, closing time: 23:59",xacbank khan-uul branch atm,"micro-region #3, chinggis avenue, xacbank khan-uul branch",24 hour,1800-1888,00:00,23:59
what are the opening hours for bulgan branch branch?,"opening time: 08:30, closing time: 16:30",bulgan branch,"xacbank building, 1-119, khanddorj avenue, 6th bag, bulgan soum
what3words: /// lugging.motherhood.votes","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for tushig branch branch?,"opening time: 08:30, closing time: 16:30",tushig branch,"1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the sansar branch, express bank атм branch located?","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch","sansar branch, express bank атм","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch",mon-sun 24 hour,1800-1888,07:00,23:59
"what are the opening hours for nomin supermarket, express atm   branch?","opening time: 09:00, closing time: 23:59","nomin supermarket, express atm  ","11st khoroo, river street, nomin supermarket ",mon-sun 9am-10pm,nan,09:00,23:59
where is the health center of sukhbaatar district атм branch located?," 11th khoroo, 11th microdistrict, 100 ail, health center of sukhbaatar district",health center of sukhbaatar district атм," 11th khoroo, 11th microdistrict, 100 ail, health center of sukhbaatar district",mon-sun 24 hour,1800-1888,07:00,23:59
"what is the name of the branch located at 1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank?","1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank",hanjargalant branch,"1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank","monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for sansar branch, express bank атм branch?","opening time: 00:00, closing time: 23:59","sansar branch, express bank атм","3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар",mon-sun 24 hour,1800-1888,00:00,23:59
"what are the opening hours for tushig branch, express bank атм branch?","opening time: 06:00, closing time: 23:59","tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,06:00,23:59
"is the terelj, zdtg branch open on sunday?",yes,"terelj, zdtg","nalaikh, west of terelj hotel, zdtg",mon-sun 8am-12pm,1800-1888,08:00,23:59
what are the opening hours for choir branch branch?,"opening time: 08:30, closing time: 16:30",choir branch,"apartment 4, 3rd bag, sumber soum, gobisumber aimag 
what3words: /// feline.stopover.handstands","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the khotkhoit supermarket  atm branch located?,"22nd khoroo, takhilt last bus station, khotkhoit supermarket",khotkhoit supermarket  atm,"22nd khoroo, takhilt last bus station, khotkhoit supermarket",mon-sun 8pm-11pm,1800-1888,08:00,23:00
where is the organic market branch located?," 2nd khoroo, west of ulaanbaatar sanatorium, organic market ",organic market," 2nd khoroo, west of ulaanbaatar sanatorium, organic market ",mon-sun 8am-8pm,1800-1888,08:00,20:00
what are the opening hours for tobu center atm branch?,"opening time: 08:00, closing time: 23:00",tobu center atm,"khovd city, tobu center",08:00 - 23:00,1800-1888,08:00,23:00
what are the opening hours for amar shopping center branch?,"opening time: 08:30, closing time: 18:30",amar shopping center,"bayanlkhongor province, bayankhongor, amar shopping center ",mon-sun 9:30am-10:30pm,1800-1888,08:30,18:30
"is the uvurkhangai, express atm  branch open on sunday?",yes,"uvurkhangai, express atm ","uvurkhangai province, arvaikheer, xac bank uvurkhangai branch ",mon-sun 9am-5:30pm,1800-1888,09:00,17:30
"where is the tedy 2 center, express atm  branch located?","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center","tedy 2 center, express atm ","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center",mon-sun 10am-8pm,1800-1888,10:00,20:00
"what is the name of the branch located at 4rd khoroo, yarmag food city?","4rd khoroo, yarmag food city",yarmag food city crm-atm,"4rd khoroo, yarmag food city",mon-sun 9-20 hours,1800-1888,09:00,19:59
what are the opening hours for 10th microdistrict noyod атм branch?,"opening time: 08:00, closing time: 21:59",10th microdistrict noyod атм,"6-р хороо, 10-р хороолол, энхтайваны өргөн чөлөө",mon-sun 08-22 hour,1800-1888,08:00,21:59
"what is the name of the branch located at kherlen sum, ?","kherlen sum, ",khentii mart99 atm,"kherlen sum, ",mon-sun 08:00-00:00,1800-1888,08:00,23:59
what are the opening hours for baruun salaa ulziit khairkhan atm branch?,"opening time: 08:00, closing time: 22:00",baruun salaa ulziit khairkhan atm," district #24, bayankhoshuu, baruun salaa ",mon-sun: 08:00-22:00,1800-1888,08:00,22:00
is the bayanzurkh tovchoo sansar suljee market branch open on sunday?,yes,bayanzurkh tovchoo sansar suljee market," 22 tovchoo, sansar suljee market",mon-sun: 08:00-22:00,nan,08:00,23:00
is the zamiin-uud branch branch open on sunday?,yes,zamiin-uud branch,"xacbank building, central square, 10th section, 1st bag, zamiin-uud soum
what3words: /// ungracious.outcast.cakewalk","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the erdenet branch, express bank атм branch open on sunday?",yes,"erdenet branch, express bank атм","orkhon province, bayan-undur, selenge restaurant, xac bank erdenet branch ",24/7,1800-1888,00:00,23:59
is the good price ikh mongol atm branch open on sunday?,yes,good price ikh mongol atm,"26th khoroo, khunnu street, good price ikh mongol",mon-sun 8:30am-12pm,1800-1888,08:30,23:00
what are the opening hours for arkhangai buren hypermarket atm branch?,"opening time: 10:00, closing time: 21:00",arkhangai buren hypermarket atm,arkhangai tsetserleg,mon-sun 10:00-21:00,nan,10:00,21:00
"is the jukov market, express atm branch open on sunday?",yes,"jukov market, express atm","4th khoroo, 15th microdistrict, khilchid street, jukov market","tue-sun 9am-9pm
monday closed",1800-1888,09:00,21:00
"what are the opening hours for darkhan market, express atm  branch?","opening time: 00:00, closing time: 23:59","darkhan market, express atm ","darkhan-uul province, darkhan, darkhan market ","tue-sun 9am-7pm
mon closed",1800-1888,00:00,23:59
where is the bosa supermarket atm branch located?,"micro-region #20, bosa supermarket",bosa supermarket atm,"micro-region #20, bosa supermarket","mon-fri: 08:00-23:00
sat-sun: 09:00-22:00",nan,08:00,23:00
"what are the opening hours for steppe arena, express bank atm branch?","opening time: 07:00, closing time: 23:59","steppe arena, express bank atm","steppe arena, express bank atm",mon-sun 24 hour open,1800-1888,07:00,23:59
is the xacbank khan-uul branch atm branch open on sunday?,yes,xacbank khan-uul branch atm,"micro-region #3, chinggis avenue, xacbank khan-uul branch",24 hour,1800-1888,00:00,23:59
is the songinokhairkhan 06 branch atm branch open on sunday?,yes,songinokhairkhan 06 branch atm,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
what are the opening hours for max market express atm branch?,"opening time: 08:00, closing time: 23:00",max market express atm,"19th khoroo, suu co, ltd-max market",mon-sun 8am-11pm,1800-1888,08:00,23:00
what are the opening hours for darkhan nekhii shopping center атм branch?,"opening time: 10:00, closing time: 22:00",darkhan nekhii shopping center атм,"orkhon province, bayan-undur, ikh zaluu, darkhan nekhii shopping center ",mon-sun 10am-10pm,1800-1888,10:00,22:00
where is the sayamaa market атм branch located?," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",mon-sun 8am-8pm,1800-1888,08:00,20:00
what are the opening hours for bayanzurkh 05 branch lobby crm-atm-1 branch?,"opening time: 00:00, closing time: 23:59",bayanzurkh 05 branch lobby crm-atm-1,"13rd khoroo, enkhtaivan avenue, 92a-1",mon-sun 24 hours,1800-1888,00:00,23:59
where is the nalaih branch branch located?,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for otgontenger grocery store атм branch?,"opening time: 09:00, closing time: 23:00",otgontenger grocery store атм,"21th khoroo, new dari ikh station, otgontenger grocery store",mon-sun 9am-12pm,1800-1888,09:00,23:00
"what is the name of the branch located at khuvsgul province, murun, erkhes market branch?","khuvsgul province, murun, erkhes market branch","khuvsgul erkhes market, express atm ","khuvsgul province, murun, erkhes market branch",mon-sun 9am-23pm,1800-1888,09:00,23:00
is the khangarid sports place branch open on sunday?,yes,khangarid sports place,"orkhon province, bayan-undur, khangarid sports place",mon-sun 8am-10pm,1800-1888,08:00,22:00
what are the opening hours for ord supermarket branch?,"opening time: 08:00, closing time: 23:00",ord supermarket,"15th khoroo, sharga morit, ord supermarket ",mon-sun 8am-11pm,1800-1888,08:00,23:00
where is the uran gan atm branch located?,uran gan center,uran gan atm,uran gan center,mon-sun 09:00-18:00,nan,09:00,18:00
where is the tsaiz branch атм branch located?,"16th khoroo, dandarbaatar street, tsaiz branch",tsaiz branch атм,"16th khoroo, dandarbaatar street, tsaiz branch",даваа-ням 24 цаг,1800-1888,00:00,23:59
is the bayalag mini market atm branch open on sunday?,yes,bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",mon-sun 8am-12pm,1800-1888,08:00,23:59
"is the xacbank ard branch tsetseg tuv, express bank atm branch open on sunday?",yes,"xacbank ard branch tsetseg tuv, express bank atm","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch",mon-sun 8-20 hour,1800-1888,08:00,20:00
is the elgen bayan market branch open on sunday?,yes,elgen bayan market,"dornogovi province, zamiin-uud,  ",mon-sun 8am-11pm,1800-1888,08:00,23:59
what are the opening hours for misheel center walking street атм branch?,"opening time: 08:00, closing time: 21:00",misheel center walking street атм,19th misheel center walking street,mon-sun 8am-10pm,1800-1888,08:00,21:00
what are the opening hours for selenge market atm branch?,"opening time: 09:00, closing time: 20:00",selenge market atm,"18th khoroo, selenge market","fri-wed 9am-8pm
thursday closed",1800-1888,09:00,20:00
is the bayangol branch branch open on sunday?,yes,bayangol branch,"1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
