Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
"what time does esun-erdene market, express atm  close on weekdays?",19:30,"esun-erdene market, express atm ","orkhon province, bayan-undur, oyut, esun erdene market ",1800-1888,mon-sun 9:30am-7:30pm,09:30,19:30,,,
what are the opening hours of janjin club atm on monday?,closed,janjin club atm,"micro-region #12, janjin club",,24 hour,00:00,23:59,,,
what is the phone number of zuunharaa branch?,1800-1888,zuunharaa branch,"xacbank building, 3rd bag, mandal soum, 
what3words: /// spout.cooking.smirking",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does nomin supermarket atm open?,08:30,nomin supermarket atm,"darkhan city, nomin supermarket",1800-1888,mon-sun: 9:30-21:30,08:30,22:00,,,
what time does shur market атм open?,00:00,shur market атм,"dornod province, kherlen, trade street, shur market ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
is shine darhan branch open on saturday?,closed,shine darhan branch,"2nd floor, tedy center, 15th bag, darkhan soum
what3words: /// shuttling.scars.insulated",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of baruun-urt dalai bulag, express atm?","mon-sat 09:00-22:00
sunday 10:00-22:00","baruun-urt dalai bulag, express atm","sukhbaatar province, baruun-urt, dalai bulag",1800-1888,"mon-sat 09:00-22:00
sunday 10:00-22:00",09:00,22:00,,,
what is the address of taats alt market atm?,"22nd khoroo, 6th microdistrict, taats alt hotel and supermarket ",taats alt market atm,"22nd khoroo, 6th microdistrict, taats alt hotel and supermarket ",1800-1888,24 hour,00:00,23:59,,,
can i visit arhangai branch on sunday?,closed,arhangai branch,"xacbank building, 3rd bag, erdenebulgan soum
what3words: /// throttles.unseasoned.aligns",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what time does khentii evt market, express atm close on weekdays?",19:00,"khentii evt market, express atm","khentii province, kherlen, east zone market, a bloc ",1800-1888,mon-sun 9am-7pm,09:00,19:00,,,
what is the phone number of ulaangom branch?,1800-1888,ulaangom branch,"1st floor, uguumur-uguuj llc building, 3rd bag, ulaangom soum
what3words: /// bloodshot.trudges.sake",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does dornogovi branch urgutgul atm close?,23:59,dornogovi branch urgutgul atm,"dornogovi province, 4th committee, xacbank-extention",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does myangan neriin baraa, express atm close?",20:00,"myangan neriin baraa, express atm","""myangan neriin baraa"" market,15th committee, 3rd section, bayangol district ",1800-1888,mon-sun 10am-08pm,10:00,20:00,,,
what is the phone number of songinohairhan branch?,1800-1888,songinohairhan branch,"1st floor, sapporo shopping center, 12th horoo, songinokhairkhan district
what3words: /// princely.hazy.toolbar",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of darhan branch on monday?,8:30am - 04:30pm,darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the address of bayangol branch, express bank crm-2?","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank ","bayangol branch, express bank crm-2","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank ",18001888,mon-sun 24 hours,00:00,23:59,,,
"what time does tedy 2 center, express atm  open?",10:00,"tedy 2 center, express atm ","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what is the address of sodon sansar supermarket atm?,"6th khoroo, sodon khoroolol, sansar supermarket",sodon sansar supermarket atm,"6th khoroo, sodon khoroolol, sansar supermarket",1800-1888,mon-sun 8:30am-10pm,08:30,22:00,,,
"what is the address of international shopping center, express atm ?","darkhan-uul province, darkhan, international shopping center","international shopping center, express atm ","darkhan-uul province, darkhan, international shopping center",1800-1888,"mon-sun 9am-8pm
wed closed",09:00,20:00,,,
what is the phone number of kharkhorin market express atm?,1800-1888,kharkhorin market express atm,"micro-region # 15, district #1, peace avenue, kharkhorin market",1800-1888,"monday closed.
tue-sun: 9:00-19:00 ",09:00,19:00,,,
what time does achlal center atm close on weekdays?,20:00,achlal center atm,"micro-region #14, ard ayush avenue,  district #3, achlal center",,mon-sun: 10:00-20:00,10:00,20:00,,,
can i visit nomin supermarket atm on sunday?,closed,nomin supermarket atm,"darkhan city, nomin supermarket",1800-1888,mon-sun: 9:30-21:30,08:30,22:00,,,
what time does dundgovi branch open?,08:30,dundgovi branch,"xacbank building, buyannemeh street-18, 7th bag, mandalgobi soum
what3words: /// tournaments.expertly.pillbox",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of night plaza trade center express atm?,"micro-region #14, nam yanju str, night plaza trade center",night plaza trade center express atm,"micro-region #14, nam yanju str, night plaza trade center",,"thursday closed,
mon-sun: 11:00-24:00",11:00,23:59,,,
what time does huvsgul branch open?,08:30,huvsgul branch,"xacbank building, 8th bag, murun soum
what3words: /// fools.thrilled.applauded",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit selenge branch on sunday?,closed,selenge branch,"xacbank building, 6th bag, suhbaatar soum
what3words: /// purses.purified.gender",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of zamiin-uud branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",zamiin-uud branch,"xacbank building, central square, 10th section, 1st bag, zamiin-uud soum
what3words: /// ungracious.outcast.cakewalk",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of songinokhairkhan district атм?,mon-sat 8am-8pm,songinokhairkhan district атм,songinokhairkhan district,1800-1888,mon-sat 8am-8pm,08:00,20:00,,,
"what is the address of kherlen shopping center, express atm ?","1st khoroo, natsgdorj street, kherken shopping center","kherlen shopping center, express atm ","1st khoroo, natsgdorj street, kherken shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does automobile purchase loan center 2 open?,08:30,automobile purchase loan center 2,"17th khoroo, sharhad-55, ""da khuree"" market, block b",1800-1888,"tuesday - friday: 8:30am-04:30pm
saturday, sunday: 9:00am-05:00pm
monday: closed.
what3words: ///stays.caring.diets",08:30,16:30,,,
what is the phone number of baganuur branch?,1800-1888,baganuur branch,"xacbank building, 1st horoo, natsagdorj street-7/1, baganuur district
what3words: /// temperance.hyperlinks.inexpensive",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is darhan branch open on saturday?,closed,darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of bayalag mini market atm?,mon-sun 8am-12pm,bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what are the opening hours of khangai region shopping center атм on monday?,closed,khangai region shopping center атм,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
what is the address of efes supermarket atm?,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",efes supermarket atm,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",18001888,mon-sun: 08:45-23:45,08:45,23:45,,,
what are the opening hours of bayanzurkh 05 branch lobby crm-atm-1 on monday?,closed,bayanzurkh 05 branch lobby crm-atm-1,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
is umnugovi central hospital open on saturday?,closed,umnugovi central hospital,"umnugovi province, umnugovi hospital",1800-1888,mon-sun 24 hour,00:00,23:59,,,
is oyu center atm open on saturday?,closed,oyu center atm,"arvaikheer sum, oyu center",1800-1888,24 hour,00:00,23:59,,,
what are the opening hours of kharkhorin market атм on monday?,closed,kharkhorin market атм,"20th khoroo, 1st microdisrict, moscow road, kharkhorin market",1800-1888,"tue-sun 9am-7pm
monday closed",09:00,19:00,,,
what is the phone number of arvaiheer branch?,1800-1888,arvaiheer branch,"1st floor, khangamj shopping center, 5th bag, arvaikheer soum
what3words: /// greet.creamed.task",1800-1888,"monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"is nalaikh branch, express bank  open on saturday?",closed,"nalaikh branch, express bank ","nalaikh, 2nd khoroo, davaajav street, xac bank nalaikh branch ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does od shopping center атм close on weekdays?,20:00,od shopping center атм,"orkhon province, bayan-undur , urtbulag, 5th mikr, od shopping center",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
"what is the phone number of mergen 2 supermarket, express atm ?",1800-1888,"mergen 2 supermarket, express atm ","bayanlkhongor province, bayankhongor, mergen 2 supermarket",1800-1888,mon-sun 7:30am-11pm,07:30,23:00,,,
what time does da khuree shine zoog atm close on weekdays?,19:00,da khuree shine zoog atm,"bayanzurkh district, 17th khoroo, sharkhad street",1800-1888,"tue-sun 10am-6 pm
monday closed",09:00,19:00,,,
"is ubm center, express atm  open on saturday?",closed,"ubm center, express atm ","khuvsgul province, murun, ubm shopping center
",1800-1888,mon-sun 24 hour,00:00,23:59,,,
is bosa market open on saturday?,closed,bosa market,"micro-region #10, bayankhoshuu, bosa market",1800-1888,mon-sun 09:00-23:00,09:00,23:00,,,
what time does baganuur branch atm close?,23:59,baganuur branch atm,"micro-region #1, natsagdorj str, xacbank, baganuur branch ",1800-1888,24 hour,00:00,23:59,,,
"what time does saruul market, express atm close on weekdays?",20:00,"saruul market, express atm","sukhbaatar district, 5-r khoroolol, narnii zam, saruul market",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what time does unur branch close on weekdays?,16:30,unur branch,"building, аос-43/b, 1st khoroolol, 17th horoo, moscow avenue, songinokhairkhan 
what3words: /// swooning.moderated.unique",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of icc branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",icc branch,"icc tower, 1st floor, 1st khoroo, sukhbaatar district
what3words: /// cured.down.repaid",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of tsogttsetsii branch, express atm?",mon-sun 24 hour,"tsogttsetsii branch, express atm",crm umnugovi tsogttsetsii branch атм,1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does darkhan depatrment store. express atm open?,09:00,darkhan depatrment store. express atm,"darkhan-uul province, darkhan, darkhan department store",1800-1888,mon-sun 8:30am-10pm,09:00,22:00,,,
what is the address of automobile purchase loan center 1?,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees",automobile purchase loan center 1,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees",1800-1888,"monday - sunday: 8:30am-4:30pm
tuesday: сlosed",08:30,16:30,,,
what time does sansar supermarket атм open?,09:00,sansar supermarket атм,"11th khoroo, bayanzurkh point, eastern side of petrovis gas station, sansar supermarket",,mon-sun 9am-12pm,09:00,23:59,,,
can i visit darhan branch on sunday?,closed,darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is dornogovi branch open on saturday?,closed,dornogovi branch,"xacbank building, 2nd bag, sainshand soum
what3words: /// denies.undeniably.overland",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does darkhan magnolia атм open?,00:00,darkhan magnolia атм,"darkhan-uul province, darkhan, darkhan magnolia",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does ubm center, express atm  open?",00:00,"ubm center, express atm ","khuvsgul province, murun, ubm shopping center
",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does tsaiz branch, express atm open?",06:00,"tsaiz branch, express atm","16th khoroo, dandarbaatar street, tsaiz branch",1800-1888,mon-sun 24 hour,06:00,23:59,,,
what are the opening hours of uran gan atm on monday?,closed,uran gan atm,uran gan center,,mon-sun 09:00-18:00,09:00,18:00,,,
what are the weekly opening hours of anurad supermarket атм?,mon-sun 9am-8pm,anurad supermarket атм,"bayanlkhongor province, bayankhongor, anurad supermarket ",1800-1888,mon-sun 9am-8pm,14:05,14:05,,,
is bayalag mini market atm open on saturday?,closed,bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what are the weekly opening hours of khuchitshonkhor market  atm?,mon-sun 6am-5pm,khuchitshonkhor market  atm,"11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
"what time does xacbank bayanmongol branch, express bank атм close on weekdays?",23:59,"xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
can i visit umnugovi branch on sunday?,closed,umnugovi branch,"xacbank building, 3rd bag, dalanzadgad soum
what3words: /// telephoning.unemployment.lumpiness",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is sutai university атм open on saturday?,closed,sutai university атм," 5th khoroo, enkhtaivan avenue, kino uildver, sutai university",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what is the phone number of gost shopping center атм?,1800-1888,gost shopping center атм,"arkhangai province, erdenebulgam sum, gost shopping center",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
"can i visit central square branch, express bank атм on sunday?",closed,"central square branch, express bank атм","8th khoroo, east of sukhbaatar square, central square branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what time does dornogovi sydney атм open?,00:00,dornogovi sydney атм,"dornogovi province, sainshand, sydney dornogovi ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does munkh-uvugdii supermarket, express atm  close?",22:00,"munkh-uvugdii supermarket, express atm ","zavkhan province, tosontsengel, munkh-uvugdii supermarket ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the address of baylag undraa shopping center atm?,"14th khoroo, narnii road, baylag undraa shopping center",baylag undraa shopping center atm,"14th khoroo, narnii road, baylag undraa shopping center",1800-1888,"wed-sun 8am-8pm
tue closed",08:00,20:00,,,
"what time does xacbank bayanmongol branch, express bank атм close?",23:59,"xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what time does selenge market atm close?,20:00,selenge market atm,"18th khoroo, selenge market",1800-1888,"fri-wed 9am-8pm
thursday closed",09:00,20:00,,,
what time does tsogttsetsii branch close?,16:30,tsogttsetsii branch,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of herlen branch on monday?,8:30am - 4:30pm,herlen branch,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of international shopping center, express atm ?","mon-sun 9am-8pm
wed closed","international shopping center, express atm ","darkhan-uul province, darkhan, international shopping center",1800-1888,"mon-sun 9am-8pm
wed closed",09:00,20:00,,,
what time does khusel center atm close on weekdays?,23:59,khusel center atm,"micro-region #14, khandgait str,  7-n buudal, khusel center",1800-1888,mon-sun 08 am-12 pm,08:00,23:59,,,
"what time does tushig center, express atm  close?",19:30,"tushig center, express atm ","uvurkhangai province, arvaikheer, tushig center",1800-1888,"mon-sun 9am-7:30pm
saturday closed",09:00,19:30,,,
what are the weekly opening hours of zuunmod branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",zuunmod branch,"xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of bayanzurkh branch?,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",bayanzurkh branch,"201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
is khusug trade auto onshilgoo atm open on saturday?,closed,khusug trade auto onshilgoo atm,khusug trade auto onshilgoo,1800-1888,mon-sun: 10:00-18:00,10:00,18:00,,,
what time does demchig khairkhan mini market atm close on weekdays?,23:59,demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",1800-1888,mon-sun 9am-12 pm,09:00,23:59,,,
"what time does zamiin-uud, express bank atm open?",00:00,"zamiin-uud, express bank atm","dornogovi province, zamiin-uud, central square, xacbank",1800-1888,24/7,00:00,23:59,,,
what are the weekly opening hours of baruun salaa ulziit khairkhan atm?,mon-sun: 08:00-22:00,baruun salaa ulziit khairkhan atm," district #24, bayankhoshuu, baruun salaa ",1800-1888,mon-sun: 08:00-22:00,08:00,22:00,,,
"what are the weekly opening hours of mongol insurance, central branch атм?",mon-sun 24 hour,"mongol insurance, central branch атм","1st khoroo, peace avenue, mongol daatgal building, sukhbaatar branch xac bank ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does khangamj shopping center атм close?,20:00,khangamj shopping center атм,"uvurkhangai province, arvaikheer, central market, khangamj shopping center ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what time does kharguijin market close on weekdays?,20:00,kharguijin market,"13 khoroo, khailaast, orgil supermarket ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
can i visit minii hypermarket shopping center on sunday?,closed,minii hypermarket shopping center,"arkhangai province, erdenebulgam sum, minii hypermarket shopping center",1800-1888,mon-sun 9am-11pm,09:00,21:00,,,
is dalaikhuu atm open on saturday?,closed,dalaikhuu atm,"chingeltei district, 14th khoroo, khailaast, dalaikhuu market ",1800-1888,mon-sun 10am-7 pm,10:00,19:00,,,
"can i visit tumbaash center, express atm  on sunday?",closed,"tumbaash center, express atm ","7th khoroo, bayankhoshuu old bus station, tumbaash center",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what time does darkhan depatrment store. express atm close on weekdays?,22:00,darkhan depatrment store. express atm,"darkhan-uul province, darkhan, darkhan department store",1800-1888,mon-sun 8:30am-10pm,09:00,22:00,,,
what time does achlal center atm open?,10:00,achlal center atm,"micro-region #14, ard ayush avenue,  district #3, achlal center",,mon-sun: 10:00-20:00,10:00,20:00,,,
what time does aurora hotel close on weekdays?,00:00,aurora hotel,"4th khoroo, peace avenue aurora hotel",1800-1888,24 цаг,00:00,00:00,,,
what is the address of river street branch?,"1st floor, building no 311, ikh mongol uls street, 11th khoroo, khan-uul district
what3words: /// paintings.tame.seasons",river street branch,"1st floor, building no 311, ikh mongol uls street, 11th khoroo, khan-uul district
what3words: /// paintings.tame.seasons",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit tengis movie theater атм on sunday?,closed,tengis movie theater атм,"5th khoroo, j.sambuu street, tengis movie theater ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
is narlag market atm open on saturday?,closed,narlag market atm,"altai sum, mongolia post",1800-1888,mon-sun 10:00-20:00,10:00,20:00,,,
"what are the opening hours of central square branch, express bank атм on monday?",closed,"central square branch, express bank атм","8th khoroo, east of sukhbaatar square, central square branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what is the phone number of uvs branch?,1800-1888,uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of unur nomin hypermarket atm?,"micro-region # 12, district #1 , peace avenue, unur nomin hypermarket",unur nomin hypermarket atm,"micro-region # 12, district #1 , peace avenue, unur nomin hypermarket",1800-1888,"mon-thu: 08:30-22:30
fri: 08:30-24:00
sat: 09:00-24:00
sun: 09:00-21:30 ",08:30,22:30,,,
what are the opening hours of harhorin branch on monday?,8:30am - 4:30pm,harhorin branch,"xacbank building, erdenezuu street, gangan-orkhon bag, harhorin soum
what3words: /// broadest.solid.jarred",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit tsogjavkhlan atm on sunday?,closed,tsogjavkhlan atm,"dalanzadgad sum,  ",1800-1888,9am-12pm,09:00,23:59,,,
what is the address of hovd branch?,"xacbank building, jargalan bag, jargalant soum
what3words: /// dabble.opposites.shrubbery",hovd branch,"xacbank building, jargalan bag, jargalant soum
what3words: /// dabble.opposites.shrubbery",70432756,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of bayalag mini market atm?,1800-1888,bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
"what is the phone number of sodon, express atm  ?",1800-1888,"sodon, express atm  ","6th khoroo, sodon khoroolol, sansar supermarket",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
"what is the address of 22 tovchoo m mart, express bank atm?","32st khoroo, 22 tovchoo m mart","22 tovchoo m mart, express bank atm","32st khoroo, 22 tovchoo m mart",1800-1888,mon-sun 08-22 hour,07:00,21:59,,,
what are the weekly opening hours of sutai university атм?,mon-sun 9am-9pm,sutai university атм," 5th khoroo, enkhtaivan avenue, kino uildver, sutai university",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what time does sansar branch, express bank атм close on weekdays?",23:59,"sansar branch, express bank атм","micro-region #3, peace avenue, district #13, xacbank bayanzurkh branch",1800-1888,mon-sun: 06:00-01:00,00:00,23:59,,,
can i visit ikh ord lobby crm on sunday?,closed,ikh ord lobby crm,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what are the weekly opening hours of delgerkhangai center express atm?,mon-sun 09:00-20:00,delgerkhangai center express atm,"micro-region #6, yarmag, delgerkhangai center",1800-1888,mon-sun 09:00-20:00,09:00,20:00,,,
"what time does bayalag-undraa market, express atm-3 close?",20:00,"bayalag-undraa market, express atm-3","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
can i visit nisekh branch atm on sunday?,closed,nisekh branch atm,"16th khoroo, wes sonsgolon street, nisekh branch xac bank",1800-1888,mon-sun 7am-12pm,07:00,23:59,,,
"what time does khosbagan market, express atm close on weekdays?",23:00,"khosbagan market, express atm","9th khoroo, shar khad street, khos bagana market",1800-1888,mon-sun 8pm-11pm,08:00,23:00,,,
what are the weekly opening hours of han-uul branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",han-uul branch,"1st floor of noos impex building, 2nd khoroo, khan-uul district
what3words: /// headed.legroom.arrival",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of mungun taiga center, express atm?",mon-sun 8am-11pm,"mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
can i visit elgen bayan market on sunday?,closed,elgen bayan market,"dornogovi province, zamiin-uud,  ",1800-1888,mon-sun 8am-11pm,08:00,23:59,,,
"what is the phone number of bayangol branch, express bank crm-2?",18001888,"bayangol branch, express bank crm-2","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank ",18001888,mon-sun 24 hours,00:00,23:59,,,
what is the address of taats supermarket атм?,"7th khoroo, khilchin town, taats supermarket",taats supermarket атм,"7th khoroo, khilchin town, taats supermarket",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what time does stars center atm close on weekdays?,21:00,stars center atm,"micro-region #2, peace avenue, stars center",,mon-sun 10:00-21:00,10:00,21:00,,,
what is the address of elgen bayan market?,"dornogovi province, zamiin-uud,  ",elgen bayan market,"dornogovi province, zamiin-uud,  ",1800-1888,mon-sun 8am-11pm,08:00,23:59,,,
what are the weekly opening hours of infectious hospital administration building атм?,mon-sun 8pm-12pm,infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",1800-1888,mon-sun 8pm-12pm,08:00,23:59,,,
what time does bayan-undur branch open?,08:30,bayan-undur branch,"1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of unur branch?,1800-1888,unur branch,"building, аос-43/b, 1st khoroolol, 17th horoo, moscow avenue, songinokhairkhan 
what3words: /// swooning.moderated.unique",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does arkhangai buren hypermarket atm close?,21:00,arkhangai buren hypermarket atm,arkhangai tsetserleg,,mon-sun 10:00-21:00,10:00,21:00,,,
