Question,answer,real
шөнийн плаза худалдааны төвийн экспресс АТМ ямар хаяг вэ?,"бичил бүс 14, нам янжү гудамж, шөнийн плаза худалдааны төв","micro-region #14, nam yanju str, night plaza trade center"
Хөвсгөл салбар хэдэн цагт нээгддэг вэ?,Хөвсгөл салбар Даваагаас Баасан гарагуудад 07.30-18.00 цаг хүртэл ажиллана.,08:30
би ням гаригт сэлэнгэ салбар дээр очиж болох уу?,Тиймээ Ням гарагт Сэлэнгэ салбараар үйлчлүүлэх боломжтой.,closed
Замын-Үүд салбар долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Замын-Үүд салбар Даваагаас Баасан гарагуудад 9-17 цаг хүртэл ажиллаж байна.,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed"
Сонгинохайрхан дүүргийн АТМ долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Даваа-Баасан 07:30-18:00,mon-sat 8am-8pm
"Хэрлэн худалдааны төв, буухиа АТМ ямар хаяг вэ?","Хэрлэн худалдааны төв, Экспресс АТМ 1-р хороо, Нацагдоржийн гудамжинд байрладаг.","1st khoroo, natsgdorj street, kherken shopping center"
Автомашины зээлийн 2-р төв хэдэн цагт нээгддэг вэ?,Автомашины зээлийн төв ням гарагаас бусад өдөр бүр өглөөний 9 цагт нээгддэг. ,08:30
багануур салбарын утас хэд вэ?,Багануур салбарын утас 70622322.,1800-1888
Дархан салбар хагас сайн өдөр ажилладаг уу?,"үгүй ээ, хаалттай.",closed
bayalag mini market atm долоо хоног бүр хэдэн цагаар ажилладаг вэ?,АТМ Даваагаас Баасан гарагуудад өглөөний 7:30 цагаас оройн 18 цаг хүртэл ажиллана.,mon-sun 8am-12pm
хангайн бүсийн худалдааны төвүүд даваа гарагт хэдэн цагаар ажиллах вэ?,Хангайн бүсийн худалдааны төвийн АТМ Даваа гарагт 09.00-18.00 цагийн хооронд ажиллана.,closed
efes supermarket atm хаяг юу вэ?,"Эфес супермаркет АТМ нь Улаанбаатар хот, Баянгол дүүргийн 1-р хороонд байрладаг.","micro-region #6, district #13, efes supermarket, infront of wrestling palace"
баянзүрх 05 салбар лобби crm-atm-1 даваа гаригт хэдэн цаг ажиллах вэ?,Даваа-Баасан 07:30-18:00,closed
Өмнөговь төв эмнэлэг хагас сайн өдөр ажилладаг уу?,"Тиймээ, Өмнөговь аймгийн төв эмнэлэг хагас сайн өдөр ажиллана.",closed
oyu center atm хагас сайн өдөр ажилладаг уу?,"Тиймээ, Оюу төвийн АТМ Бямба гарагт ажиллаж байна.",closed
хархорин зах даваа гаригт хэдэн цагаар ажилладаг вэ?,Хархорин захын АТМ Даваа гарагт 08:30-16:30 цагийн хооронд ажиллана.,closed
арвайхээр салбарын утас хэд вэ?,70111111,1800-1888
"Налайх салбар, буухиа банк хагас сайн өдөр ажилладаг уу?",Тиймээ Налайх салбар Экспресс банк Бямба гарагт ажиллаж байна.,closed
Од худалдааны төв ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?,АТМ нь Даваагаас Баасан гараг хүртэл өглөөний 8-18 цагийн хооронд ажилладаг.,20:00
"mergen 2 супермаркет, экспресс АТМ-ийн утас хэд вэ?",+976-9900-0001,1800-1888
ажлын өдрүүдэд da khuree shine zoog atm хэдэн цагт хаагддаг вэ?,мягмар гарагаас ням гараг хүртэл есөн цагаас долоон цаг хүртэл,19:00
"ubm center, express atm хагас сайн өдөр ажилладаг уу?",Тийм ээ.,closed
бямба гаригт боса зах нээлттэй юу?,"Тиймээ, Боса зах долоо хоногийн өдөр бүр 9-18 цаг хүртэл нээлттэй.",closed
Багануур салбар АТМ хэдэн цагт хаагддаг вэ?,мягмар - ням гараг 8-18 цаг,23:59
"саруул зах, буухиа АТМ ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?",Саруул Маркет Экспресс АТМ Даваагаас Баасан гараг хүртэл 08:00-18:00 цагийн хооронд ажиллаж байна.,20:00
Өнөр салбар ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?,Хүндэт салбар ажлын өдрүүдэд 19:00 цагт хаагдана.,16:30
icc салбар долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Даваа-Нар: 24 цаг нээлттэй,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed"
"Цогтцэций салбар, буухиа АТМ долоо хоног бүр хэдэн цагаар ажилладаг вэ?",Даваа-Баасан 07:30-18:00,mon-sun 24 hour
Дархан хэлтэс хэдэн цагт хадгалдаг вэ. Express atm нээлттэй юу?,Дархан их дэлгүүрийн экспресс АТМ Даваагаас Баасан гарагуудад 07:30-18:00 цагийн хооронд ажиллаж байна.,09:00
автомашин худалдан авах зээлийн 1-р төв ямар хаяг вэ?,Автомашин худалдан авах зээлийн 1-р төвийн хаяг нь ///possessors.showered.trustees.,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees"
Сансар супермаркет хэдэн цагт нээгддэг вэ?,Сансар супермаркет АТМ Даваагаас Баасан гараг хүртэл 08:00 цагт ажиллаж байна.,09:00
би ням гарагт Дархан салбар дээр очиж болох уу?,"Тиймээ, ням гаригт Дархан салбараар үйлчлүүлэх боломжтой.",closed
дорноговь салбар хагас сайн өдөр ажилладаг уу?,"үгүй ээ, хаалттай.",closed
darkhan magnolia атм хэдэн цагт нээгддэг вэ?,мяг-ням 09-07,00:00
"ubm center, express atm хэдэн цагт нээгддэг вэ?",UBM Center Express АТМ Даваагаас Баасан гарагуудад 08:30 16:30 цагийн хооронд ажиллана.,00:00
"цайз салбар, экспресс АТМ хэдэн цагт нээгддэг вэ?",Цайз салбарын экспресс АТМ Даваагаас Баасан гарагуудад 09:00 цагаас 17:00 цаг хүртэл ажиллана.,06:00
Уран ган атм даваа гаригт хэдэн цагаар ажилладаг вэ?,АТМ Даваагаас Баасан гарагуудад өглөөний 7:30-18:00 цагийн хооронд ажиллана.,closed
anurad supermarket atm долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Анурад супермаркет Даваагаас Бямба гарагуудад 9-20 цагийн хооронд ажиллана.,mon-sun 9am-8pm
bayalag mini market atm хагас сайн өдөр ажилладаг уу?,"Тийм ээ, Баялаг мини маркет АТМ хагас сайн өдөр ажиллана.",closed
Хүчитшонхор захын АТМ долоо хоног бүр хэдэн цагаар ажилладаг вэ?,АТМ Даваагаас Баасан гараг хүртэл 9:00-17:00 цагийн хооронд ажиллана.,mon-sun 6am-5pm
"Хасбанк баянмонгол салбар, экспресс банкны атм ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?",ХасБанк БаянМонгол салбар Экспресс банкны АТМ Даваагаас Баасан гараг хүртэл 18.00 цагт хаагдана.,23:59
Ням гарагт Өмнөговь салбар дээр очиж болох уу?,"Тийм ээ, та ням гарагт манай Өмнөговь салбараар үйлчлүүлээрэй.",closed
сутай их сургууль бямба гаригт нээлттэй юу?,"Үгүй ээ, хаалттай.",closed
gost худалдааны төвийн утас хэд вэ?,Гост худалдааны төвийн АТМ-ийн утас +976 11 311111.,1800-1888
"Ням гарагт төв талбайн салбар, экспресс банкны АТМ дээр очиж болох уу?","Тийм ээ, та ням гарагт Төв талбайн салбар, Экспресс банкны АТМ-ээр зочлох боломжтой.",closed
дорноговь сидней атм хэдэн цагт нээгддэг вэ?,Даваа-Баасан 07:30-18:00,00:00
"munkh-uvugdii supermarket, express atm хэдэн цагт хаагддаг вэ?",Мөнх-Өвөгдий супермаркет Экспресс АТМ Даваагаас Баасан гарагуудад 08.00-18.00 цагийн хооронд ажиллаж байна.,22:00
baylag undraa худалдааны төвийн АТМ ямар хаяг вэ?,"Байлаг ундраа худалдааны төвийн АТМ-ыг 14-р хороо, Нарны зам, Байлаг ундраа худалдааны төв гэсэн хаягаар авах боломжтой.","14th khoroo, narnii road, baylag undraa shopping center"
"Хасбанк баянмонгол салбар, экспресс банк атм хэдэн цагт хаагддаг вэ?",ХасБанк БаянМонгол салбар Экспресс банкны АТМ 18 цагт хаагдана.,23:59
сэлэнгэ захын АТМ хэдэн цагт хаагддаг вэ?,Сэлэнгэ захын АТМ Даваагаас Ням гарагуудад 9-20 цаг хүртэл ажиллана.,20:00
Цогтцэций салбар хэдэн цагт хаагддаг вэ?,мягмар - ням гараг 19:00 цагт,16:30
Хэрлэн салбар даваа гаригт хэдэн цагаар ажилладаг вэ?,Хэрлэн салбар Даваа гарагт 08:30-16:30 цагийн хооронд ажиллана.,8:30am - 4:30pm
"Олон улсын худалдааны төв, буухиа АТМ долоо хоног бүр хэдэн цагаар ажилладаг вэ?",Даваа гараг: 10-20 цаг хүртэл нээлттэй; нар: 11-19 цаг хүртэл нээлттэй,"mon-sun 9am-8pm
wed closed"
Хүсэл төвийн АТМ ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?,мягмар - ням гарагт өглөөний 8 цагаас оройн 18 цаг хүртэл,23:59
"Түшиг төв, экспресс АТМ хэдэн цагт хаадаг вэ?",Түшиг төвийн экспресс АТМ мягмараас ням гараг хүртэл өглөөний 9-19 цаг хүртэл ажиллаж байна.,19:30
Зуунмод салбар долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Зуунмод салбар нь Даваагаас Баасан гарагуудад 9:00-17:00 цагийн хооронд ажиллана.,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed"
баянзүрх салбар долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Даваа-Баасан 09:00-17:00,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed"
хусог трейд авто оншилгоо атм хагас сайн өдөр ажилладаг уу?,"Тийм ээ, Хөсөг Трейд Авто Оншилгоо АТМ Бямба гарагт ажиллаж байна.",closed
Дэмчиг хайрхан мини захын АТМ ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?,Дэмчиг хайрхан захын АТМ Даваагаас Баасан гараг хүртэл 20.00 цагт ажиллана.,23:59
"Замын-Үүд, буухиа банкны АТМ хэдэн цагт нээгддэг вэ?",Даваа-Баасан 08:00-19:00,00:00
салаа өлзийт хайрхан атм сурах долоо хоногын хэдэн цаг байдаг вэ?,Даваа-Баасан 08:00-17:00,mon-sun: 08:00-22:00
mongol даатгалын төв салбар АТМ долоо хоног бүр хэдэн цагаар ажиллаж байна вэ?,Монголын даатгалын компани Даваагаас Баасан гараг хүртэл 09:00-17:00 цагийн хооронд ажиллаж байна.,mon-sun 24 hour
Хангамж худалдааны төв хэдэн цагт хаагддаг вэ?,АТМ өглөө 8-18 цаг хүртэл ажиллана.,20:00
ажлын өдрүүдэд харгуйжин зах хэдэн цагт хаагддаг вэ?,мягмар - ням гараг 10:00-20:00,20:00
би ням гарагт minii hypermarket худалдааны төвд очиж болох уу?,"Тийм ээ, та ням гарагт Миний хайпермаркет худалдааны төвд зочлох боломжтой.",closed
Далайхүү атм хагас сайн өдөр ажилладаг уу?,"үгүй ээ, хаалттай.",closed
"би ням гарагт tumbaash center, express atm дээр очиж болох уу?","Тийм ээ, та Ням гарагт ТУМБААШ Центр Экспресс АТМ-д зочилж болно.",closed
